experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu
49,4,control,con,15,0,1,0,0,0,0
49,5,rvbu,treat,15,0,1,1,0,1,1
49,6,jawe.rble,treat,15,0,1,0,0,1,0
49,7,rwbu,treat,15,0,1,0,0,0,0
49,8,jawe,treat,15,0,1,1,0,0,0
50,1,control,con,15,0,1,0,0,0,0
50,2,control,con,15,0,1,0,0,0,0
50,3,control,con,15,0,1,0,0,0,0
50,4,control,con,15,0,1,0,0,0,0
50,5,rwbu,treat,15,0,1,0,0,0,0
50,6,jawe.rble,treat,15,0,1,1,0,0,0
50,7,rvbu,treat,15,0,1,0,0,1,0
50,8,jawe,treat,15,0,1,1,0,0,0
51,1,control,con,15,0,0,1,0,0,0
51,2,control,con,15,0,0,0,0,0,0
51,3,control,con,15,0,0,0,0,0,1
51,4,control,con,15,0,0,0,0,0,0
51,5,rwbu,treat,15,0,0,0,0,0,0
51,6,jawe.rble,treat,15,0,0,1,1,0,0
51,7,rvbu,treat,15,0,0,1,0,0,0
51,8,rvbu,treat,15,0,0,0,0,0,0
52,1,control,con,15,1,1,0,0,0,0
52,2,control,con,15,1,1,0,0,0,0
52,3,control,con,15,1,1,0,0,0,0
52,4,control,con,15,1,1,1,0,0,0
52,5,rwbu,treat,15,1,1,1,0,0,1
52,6,jawe,treat,15,1,1,0,0,0,0
52,7,rvbu,treat,15,1,1,1,0,0,0
52,8,rble,treat,15,1,1,0,0,0,0
53,1,control,con,15,1,0,0,0,1,0
53,2,control,con,15,1,0,1,1,1,0
53,3,control,con,15,1,0,0,0,0,0
53,4,control,con,15,1,0,0,0,0,0
53,5,rvbu,treat,15,1,0,1,0,1,1
53,6,rwbu,treat,15,1,0,0,1,0,1
53,7,rble,treat,15,1,0,1,0,1,0
53,8,jawe,treat,15,1,0,1,0,0,0
54,1,control,con,15,1,0,0,0,0,0
54,2,control,con,15,1,0,0,0,0,1
54,3,control,con,15,1,0,0,0,0,0
54,4,control,con,15,1,0,0,0,0,0
54,5,jawe,treat,15,1,0,1,0,0,0
54,6,rwbu,treat,15,1,0,0,0,0,0
54,7,rvbu,treat,15,1,0,0,0,1,0
54,8,jawe.rble,treat,15,1,0,1,1,0,0
55,1,control,con,15,1,1,1,1,0,0
55,2,control,con,15,1,1,1,0,0,0
55,3,control,con,15,1,1,1,0,0,0
55,4,control,con,15,1,1,0,0,0,0
55,5,jawe.rble,treat,15,1,1,1,0,0,0
55,6,rvbu,treat,15,1,1,0,0,0,0
55,7,jawe,treat,15,1,1,1,0,0,0
55,8,rwbu,treat,15,1,1,0,0,0,0
56,1,control,con,15,1,1,0,0,0,1
56,2,control,con,15,1,1,1,0,0,0
56,3,control,con,15,1,1,1,0,0,0
56,4,control,con,15,1,1,0,0,0,0
56,5,rvbu,treat,15,1,1,1,0,0,0
56,6,rble,treat,15,1,1,1,0,0,0
56,7,jawe,treat,15,1,1,1,1,0,0
56,8,rwbu,treat,15,1,1,0,0,0,0
57,1,control,con,15,1,1,0,0,0,0
57,2,control,con,15,1,1,0,0,0,0
57,3,control,con,15,1,1,0,0,0,1
57,4,control,con,15,1,1,0,1,0,1
57,5,rwbu,treat,15,1,1,0,0,0,1
57,6,jawe,treat,15,1,1,0,0,0,0
57,7,rvbu,treat,15,1,1,0,0,0,0
57,8,rble,treat,15,1,1,0,0,0,0
58,1,control,con,15,1,0,1,0,0,0
58,2,control,con,15,1,0,0,0,0,0
58,3,control,con,15,1,0,0,0,0,0
58,4,control,con,15,1,0,1,0,0,0
58,5,rvbu,treat,15,1,0,0,0,1,0
58,6,rble,treat,15,1,0,1,0,0,0
58,7,rwbu,treat,15,1,0,1,1,0,1
58,8,jawe,treat,15,1,0,1,0,1,1
59,1,control,con,15,1,1,0,0,1,0
59,2,control,con,15,1,1,0,0,0,0
59,3,control,con,15,1,1,0,0,0,0
59,4,control,con,15,1,1,1,0,1,0
59,5,jawe,treat,15,1,1,1,0,0,1
59,6,rwbu,treat,15,1,1,0,0,0,0
59,7,rble,treat,15,1,1,1,0,0,0
59,8,rvbu,treat,15,1,1,0,0,1,0
60,1,control,con,15,1,1,1,1,0,1
60,2,control,con,15,1,1,1,1,0,0
60,3,control,con,15,1,1,0,1,0,1
60,4,control,con,15,1,1,0,0,0,1
60,5,jawe,treat,15,1,1,0,0,0,0
60,6,rwbu,treat,15,1,1,0,0,0,1
